title,release_date,runtime,genres,tmdb_rating,vote_count,budget,revenue,cast,crew,language,director,producer,description,people,locations,species,vehicles,labels
Castle in the Sky,1986-08-02,125,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",7.97,4657,3000000,5228752,"['Keiko Yokozawa', 'Mayumi Tanaka', 'Minori Terada', 'Kotoe Hatsui', 'Fujio Tokita']","['Hayao Miyazaki', 'Isao Takahata', 'Yasuyoshi Tokuma', 'Yoshihiro Kasahara', 'Joe Hisaishi']",ja,Hayao Miyazaki,Isao Takahata,"The orphan Sheeta inherited a mysterious crystal that links her to the mythical sky-kingdom of Laputa. With the help of resourceful Pazu and a rollicking band of sky pirates, she makes her way to the ruins of the once-great civilization. Sheeta and Pazu must outwit the evil Muska, who plans to use Laputa's science to make himself ruler of the world.","['Lusheeta Toel Ul Laputa', 'Pazu', 'Captain Dola', 'Colonel Muska', 'General Mouro', 'Uncle Pom', 'Laputian Robot']","['Laputa', 'Gondoa', ""Pazu's Mines"", 'Tedis']","['Human', 'Dragon']",['Air Destroyer Goliath'],"['battles', 'castles', 'friendship']"
Porco Rosso,1992-07-18,93,"['Animation', 'Adventure', 'Fantasy']",7.797,3695,9200000,44600000,"['Shūichirō Moriyama', 'Tokiko Kato', 'Bunshi Katsura VI', 'Tsunehiko Kamijô', 'Akemi Okamura']","['Hayao Miyazaki', 'Hayao Miyazaki', 'Atsushi Okui', 'Joe Hisaishi', 'Sokai Tokuma']",ja,Hayao Miyazaki,Toshio Suzuki,"Porco Rosso, known in Japan as Crimson Pig (Kurenai no Buta) is the sixth animated film by Hayao Miyazaki and released in 1992. You're introduced to an Italian World War I fighter ace, now living as a freelance bounty hunter chasing 'air pirates' in the Adriatic Sea. He has been given a curse that changed his head to that of a pig. Once called Marco Pagot, he is now known to the world as 'Porco Rosso', Italian for 'Red Pig.'",[],['Piccolo S.P.A.'],['Human'],['Red Wing'],"['planes', 'romantic']"
Ponyo,2008-07-19,100,"['Animation', 'Fantasy', 'Family']",7.753,4780,34000000,202404009,"['Yuria Kozuki', 'Hiroki Doi', 'George Tokoro', 'Tomoko Yamaguchi', 'Yuki Amami']","['Mika Yamaguchi', 'Eriko Kimura', 'Shuji Inoue', 'Noboru Yoshida', 'Takeshi Seyama']",ja,Hayao Miyazaki,Toshio Suzuki,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.",[],"['Himawari Nursery School', ""Fujimoto's Underwater Harbor""]",['Human'],"[""Sosuke's Boat""]","['family', 'friendship', 'ocean']"
Princess Mononoke,1997-07-12,134,"['Adventure', 'Fantasy', 'Animation']",8.323,8919,23500000,176506186,"['Yoji Matsuda', 'Yuriko Ishida', 'Yuko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura']","['Takeshi Seyama', 'Hayao Miyazaki', 'Yutaka Narita', 'Satoshi Kuroda', 'Kazuo Oga']",ja,Hayao Miyazaki,Toshio Suzuki,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","['Ashitaka', 'San', 'Yakul', 'Shishigami', 'Moro', 'Eboshi', 'Jigo', 'Kohroku', 'Gonza', 'Hii-sama']","['Irontown', 'Forest', 'Gutiokipanja']","['Deer', 'God', 'Human', 'Spirit']",[],"['battles', 'forests', 'romantic', 'strong_lead']"
Spirited Away,2001-07-20,125,"['Animation', 'Family', 'Fantasy']",8.533,18215,19000000,274925095,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Takashi Naito', 'Yasuko Sawaguchi']","['Hayao Miyazaki', 'Toshio Suzuki', 'Yasuyoshi Tokuma', 'Joe Hisaishi', 'Atsushi Okui']",ja,Hayao Miyazaki,Toshio Suzuki,Spirited Away is an Oscar winning Japanese animated film about a ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,['Chihiro Ogino'],"[""Zeniba's Cottage"", 'Bathhouse']","['Human', 'Dragon']",[],"['coming_of_age', 'dragons', 'family', 'friendship', 'witch']"
The Wind Rises,2013-07-20,126,"['Animation', 'Drama', 'History', 'Romance']",7.792,3343,30000000,117932401,"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura', 'Stephen Alpert']","['Atsuko Tanaka', 'Eiji Yamamori', 'Taichi Furumata', 'Atsushi Tamura', 'Yoshimi Itazu']",ja,Hayao Miyazaki,Toshio Suzuki,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",[],[],['Human'],[],"['family', 'friendship', 'planes', 'romantic']"
The Tale of the Princess Kaguya,2013-11-23,137,"['Animation', 'Drama', 'Fantasy']",8.093,1969,49300000,24366656,"['Aki Asakura', 'Takeo Chii', 'Nobuko Miyamoto', 'Kengo Kora', 'Atsuko Takahata']","['Yukari Hashimoto', 'Seiji Okuda', 'Ryoichi Fukuyama', 'Yukiko Kakita', 'Naoya Fujimaki']",ja,Isao Takahata,Yoshiaki Nishimura,"A bamboo cutter named Sanuki no Miyatsuko discovers a miniature girl inside a glowing bamboo shoot. Believing her to be a divine presence, he and his wife decide to raise her as their own, calling her 'Princess'.",[],['Bamboo Forest'],['Human'],[],"['family', 'forests', 'friendship', 'need_a_good_cry']"
Only Yesterday,1991-07-20,119,"['Animation', 'Drama', 'Romance']",7.391,1239,0,473110,"['Miki Imai', 'Yoko Honna', 'Toshiro Yanagiba', 'Yorie Yamashita', 'Yuki Minowa']","['Isao Takahata', 'Hayao Miyazaki', 'Katsu Hoshi', 'Takeshi Seyama', 'Hotaru Okamoto']",ja,Isao Takahata,Toshio Suzuki,"It’s 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, and as the train travels through the night, memories flood back of her younger years: the first immature stirrings of romance, the onset of puberty, and the frustrations of math and boys. At the station she is met by young farmer Toshio, and the encounters with him begin to reconnect her to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.",[],"[""Taeko's House""]",['Human'],[],"['friendship', 'slice_of_life']"
Pom Poko,1994-07-16,119,"['Adventure', 'Animation', 'Fantasy']",7.173,1192,0,0,"['Makoto Nonomura', 'Nijiko Kiyokawa', 'Shigeru Izumiya', 'Norihei Miki', 'Yuriko Ishida']","['Isao Takahata', 'Toshio Suzuki', 'Takeshi Seyama', 'Kazuo Oga', 'Hayao Miyazaki']",ja,Isao Takahata,Toshio Suzuki,"As the human city development encroaches on the raccoon population's forest and meadow habitat, the raccoons find themselves faced with the very real possibility of extinction. In response, the raccoons engage in a desperate struggle to stop the construction and preserve their home.",[],[],['Human'],[],"['family', 'raccoons']"
The Cat Returns,2002-07-19,75,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']",7.126,2435,0,54016370,"['Chizuru Ikewaki', 'Yoshihiko Hakamada', 'Aki Maeda', 'Tetsu Watanabe', 'Yousuke Saito']","['Yuji Nomi', 'Toshio Suzuki', 'Nozomu Takahashi', 'Seiichiro Ujiie', 'Reiko Yoshida']",ja,Hiroyuki Morita,Toshio Suzuki,"Haru, a schoolgirl bored by her ordinary routine, saves the life of an unusual cat and suddenly her world is transformed beyond anything she ever imagined. The Cat King rewards her good deed with a flurry of presents, including a very shocking proposal of marriage to his son! Haru embarks on an unexpected journey to the Kingdom of Cats where her eyes are opened to a whole other world.",[],['The Cat Kingdom'],"['Cat', 'Human']",[],"['cats', 'coming_of_age']"
